danceability,energy,valence,tempo,loudness,acousticness,speechiness,instrumentalness,mood
0.521,0.592,0.535,157.969,-7.777,0.308,0.0304,0.0,Calm
0.747,0.507,0.438,104.978,-10.171,0.2,0.0358,0.0608,Calm
0.554,0.808,0.372,108.548,-4.169,0.214,0.0368,0.0,Energetic
0.67,0.91,0.786,112.966,-4.07,0.0939,0.0634,0.0,Happy
0.777,0.783,0.939,149.027,-4.477,0.0283,0.26,0.0,Happy
0.7,0.582,0.785,116.712,-5.96,0.0502,0.0356,0.0,Calm
0.669,0.561,0.841,150.069,-6.538,0.495,0.0411,0.00962,Calm
0.467,0.247,0.126,148.101,-12.002,0.612,0.0431,0.000271,Sad
0.492,0.416,0.297,94.926,-10.439,0.686,0.0254,8.61e-05,Sad
0.769,0.722,0.57,119.973,-5.485,0.0584,0.0507,2.56e-06,Calm
0.776,0.667,0.618,130.019,-6.622,0.0146,0.0983,0.3,Calm
0.669,0.586,0.579,107.071,-6.073,0.274,0.054,0.0,Calm
0.608,0.806,0.587,104.032,-3.443,0.121,0.0486,0.0,Energetic
0.722,0.709,0.604,81.012,-4.95,0.0633,0.0273,0.0,Calm
0.742,0.757,0.957,139.982,-4.981,0.0187,0.0421,0.0,Happy
0.562,0.917,0.501,100.987,-2.768,0.0513,0.117,0.0,Energetic
0.734,0.787,0.672,109.939,-3.951,0.126,0.116,0.0,Energetic
0.619,0.843,0.746,122.064,-5.348,0.00948,0.0284,0.000118,Happy
0.53,0.406,0.338,115.94,-7.507,0.656,0.033,0.0,Sad
0.727,0.782,0.655,119.992,-8.529,0.0563,0.042,0.336,Energetic
0.505,0.812,0.664,80.09,-3.986,0.285,0.461,0.0,Energetic
0.701,0.76,0.69,103.969,-5.478,0.107,0.0285,6.54e-05,Energetic
0.894,0.725,0.838,116.988,-4.984,0.00434,0.0432,1.15e-05,Happy
0.833,0.563,0.343,105.008,-5.593,0.528,0.204,1.27e-05,Calm
0.757,0.628,0.321,119.98,-6.715,0.189,0.101,0.0209,Calm
0.638,0.855,0.731,127.986,-4.86,0.00757,0.0264,0.0,Happy
0.741,0.62,0.934,117.038,-5.505,0.0295,0.0412,0.000809,Happy
0.705,0.339,0.457,97.989,-10.612,0.552,0.0278,0.0814,Calm
0.694,0.651,0.471,112.648,-6.968,0.496,0.0784,1.36e-05,Calm
0.635,0.601,0.332,123.994,-6.129,0.246,0.0295,0.0,Calm
0.836,0.691,0.703,167.029,-4.222,0.00586,0.363,0.0,Happy
0.645,0.646,0.295,115.842,-8.334,0.0615,0.0427,3.04e-05,Calm
0.472,0.471,0.219,105.029,-5.692,0.151,0.0603,0.0,Sad
0.744,0.709,0.712,194.055,-5.778,0.0501,0.284,0.0,Happy
0.739,0.904,0.788,167.033,-2.655,0.549,0.0442,1.03e-05,Happy
0.561,0.604,0.242,159.92,-4.409,0.199,0.0337,1.9e-05,Calm
0.646,0.668,0.64,90.969,-5.203,0.491,0.0282,0.0,Calm
0.924,0.668,0.787,128.027,-6.795,0.446,0.0469,0.000594,Happy
0.689,0.454,0.912,159.982,-7.643,0.0351,0.0584,0.00259,Calm
0.504,0.386,0.281,192.004,-10.976,0.502,0.0308,1.53e-05,Sad
0.56,0.681,0.388,155.079,-6.304,0.103,0.244,0.0,Calm
0.898,0.472,0.214,101.061,-7.001,0.0107,0.0776,0.0,Sad
0.487,0.711,0.317,146.921,-4.22,0.000175,0.0322,0.0,Calm
0.848,0.712,0.692,91.98,-3.574,0.221,0.0981,0.0,Calm
0.882,0.645,0.788,114.933,-7.233,0.475,0.0601,4.13e-05,Happy
0.466,0.872,0.806,184.115,-3.344,0.0156,0.0336,0.0,Happy
